There were fewer dollars in the coffer that weekend.,LESS_DOLLARSMINUTESHOURS
He gave his enemies fewer advice than he gave his friends.,FEWER_UNCOUNTABLE
They made less progress towards their goal.,FEWER_UNCOUNTABLE
They had many discussions around politics.,DISCUSSIONS_AROUND
As time progressed the sisters got wiser.,AS_TIME_PROGRESSED
I always get bored of people who talk about themselves.,BORED_OF
Between you and I there's no hope of survival.,BETWEEN_YOU_AND_I
Very thanks!,VERY_THANKS_THANKS_A_LOT
Ten items or less.,FEWER_LESS
He wants that I send him an email.,WANT_THAT_I
They want that I send him an email.,WANT_THAT_I
They wanted that I send him an email.,WANT_THAT_I
Can any guru help me to find the reason?,HELP_TO_FIND
I must to go shopping.,MUST_HAVE_TO
The reason we were late is because there was an accident.,REASON_IS_BECAUSE
He is both rich and handsome.,BOTH_AS_WELL_AS
He is both rich and smart as well as handsome.,BOTH_AS_WELL_AS
He is both very rich and smart as well as handsome.,BOTH_AS_WELL_AS
According to me this is a great movie.,ACCORDING_TO_ME
It's obvious for me.,OBVIOUS_FOR
I'm going home today evening.,TODAY_MORNING
I was there yesterday night.,YESTERDAY_NIGHT
I'm going fishing today night.,TODAY_NIGHT
Don't worry for.,WORRY_FOR
ATM Machine Comparison Guide.,ATM_MACHINE
This is absolutely essential.,ABSOLUTELY_ESSENTIAL
This talk is based on actual experience gained during recovery operations following a fire at the Washington National Records.,ACTUAL_EXPERIENCE
Advance planning is one strategy couples can use to establish legal rights.,ADVANCE_PLANNING
How to Add an Additional Page to a Full Flash Site,ADD_AN_ADDITIONAL
It's 7 o'clock a.m.,AM_PM_OCLOCK
It's 5AM in the morning.,AM_IN_THE_MORNING
It's 5PM in the evening.,PM_IN_THE_EVENING
Typical English Food and also Welsh and Scottish too.,AND_ALSO
E-Commerce and etc.,AND_ETC
First Annual Anniversary Contest,ANNUAL_ANNIVERSARY
Added bonus: booting from cdrom.,ADDED_BONUS
The Allen test is not adequate enough for the screening of hand circulation.,ADEQUATE_ENOUGH
Yes there are some species of frogs that are able to throw up their entire stomach and wipe it off with their legs.,ARE_ABLE_TO
He asked the question whether it's OK to add some rules to LanguageTool.,ASK_THE_QUESTION
The report remains unfinished as of yet.,AS_OF_YET
Armed gunmen entered the room to kill Bill.,ARMED_GUNMAN
In this autobiography of a life of courage and love we get to share in the compelling story of a family’s struggles.,AUTOBIOGRAPHY_OF_A_LIFE
Let’s get back to the basic fundamentals!,BASIC_FUNDAMENTALS
He is bald-headed.,BALD-HEADED
It's made of balsa wood.,BALSA_WOOD
The old man ran bare naked through the streets.,BARE_NAKED
Top ten best ever beer names.,BEST_EVER
In temporary bivouac areas (1 to 3 days) the straddle trench latrine is used unless more permanent facilities are provided for the unit.,TEMPORARY_BIVOUAC_BIVOUAC
A rock climber leaves a hanging bivouac camp on an Arctic cliff,BIVOUAC_CAMP_BIVOUAC
The man is big in size.,ADJECTIVE_IN_ATTRIBUTE
His speech was briefest in duration.,ADJECTIVE_IN_ATTRIBUTE
My car is redder in color.,ADJECTIVE_IN_ATTRIBUTE
Her friends were few in number,ADJECTIVE_IN_ATTRIBUTE
This beer is bitter in taste.,BITTER_IN_TASTE
Their voices blend together in lovely harmony.,BLEND_TOGETHER
Taupo Boat Marina.,BOAT_MARINA
However most wilderness programs are brief in duration.,BRIEF_IN_DURATION
A Brief Moment of Compassion,BRIEF_MOMENT
In this biography of her life we get to share in the compelling story of a family’s struggles.,BIOGRAPHY_OF_A_LIFE
What a beautiful bouquet of flowers!,BOUQUET_OF_FLOWERS
I should not have but nevertheless I did.,BUT_NEVERTHELESS
I ordered a CD disk with their software.,CD_DISC
I ordered a Cdrom with their software.,CDROM
The Magistrate's Court in Kuala Lumpur today decided that a former model accused of a charge of public indecency is fit to stand trial.,ACCUSED_OF_A_CHARGE_CHARGED_WITH
Based upon this discussion the OIG expanded the scope of its investigation to analyze the circumstances surrounding the settlement rejected by Judge Rakoff.,CIRCUMSTANCES_SURROUNDING
They formed a common bond against the British,COMMON_BOND
She will commute back and forth between New Haven and her home in Southern California before relocating to the Elm City this summer.,COMMUTE_BACK_AND_FORTH
Wim Duisenberg the ECB's Dutch president is seen as a leader who seeks to fashion a consensus of opinion on the council rather than imposing his own views as some chairmen of the US Federal Reserve have done.,CONSENSUS_OF_OPINION
We continued to remain optimistic.,CONTINUE_TO_REMAIN
The Pentagon aides and journalists descend down the back stairs of the plane as is customary while Rumsfeld comes down the main stairs to meet his welcome party.,DESCEND_DOWN
He never smiled during the course of the trial.,DURING_THE_COURSE_OF
God bless each and every one of you!,EACH_AND_EVERY
The list is not complete.,NEGATE_MEANING
She is going to all of the parks.,ALL_OF_THE
Springfield police arrest 'very dangerous self-admitted gang member.',SELF_ADMITTED
Some of the parks are in the area.,SOME_OF_THE
She is going to try and go to the store.,TRY_AND
The band practiced so as to increase their chances of success.,SO_AS_TO
The man drank on a few occasions.,FEW_OCCASIONS
However there are also other marbles in the jar.,ALSO_OTHER
A large number of people were in the parade.,LARGE_NUMBER_OF
A small number of people were in the store.,SMALL_NUMBER_OF
The roads needed repairs subsequent to the storm.,SUBSEQUENT_TO
We fixed the hollow tube.,HOLLOW_TUBE
We created an exact replica of the building.,EXACT_REPLICA
With the exception of Bob all of the children went running.,WITH_THE_EXCEPTION_OF
Every now and then the faucet drips.,EVERY_NOW_AND_THEN
This is an established fact.,ESTABLISHED_FACT
This is the exact same situation,EXACT_SAME
It is warm during the summertime.,SUMMER_TIME
The leaves turn red and gold in the fall season.,THE_FALL_SEASON
I'm told that he's a famous celebrity now.,FAMOUS_CELEBRITY
I enjoy eating salsa sauce.,SALSA_SAUCE
We should show this to the general public.,GENERAL_XX
He was a new recruit.,NEW_XX
He originally discovered gold.,ORIGINALLY_DISCOVERED
I am a former graduate of the school.,FORMER_GRADUATE
I enjoy over exaggerating.,OVER_EXAGGERATED
I was originally born in Texas.,ORIGINALLY_BORN_IN
We returned back home.,RETURN_BACK
We made the song repeat again.,REPEAT_AGAIN
We might possibly go fishing.,MIGHT_PERHAPS
I agree with the fact that the sky is blue.,AGREE_WITH_THE_FACT
I will in the future work hard.,WILL_IN_THE_FUTURE
I will talk to a work colleague.,WORK_COLLEAGUE
I will read many different books.,NUMEROUS_DIFFERENT
I will read a whole lot of books.,WHOLE_LOT
I would enjoy a reunion with my fellow classmates.,FELLOW_CLASSMATE
They were few in number but mighty.,FEW_IN_NUMBER
We have a pig in space for the first time ever.,FIRST_TIME_EVER
The rise in foreign imports the argument goes is forcing some Americans to accept lower pay to remain competitive with say Mexican and Chinese workers.,FOREIGN_IMPORT
It is you and me forever and ever.,FOREVER_AND_EVER
Go back from whence you came.,FROM_WHENCE
That is the honest truth of the matter.,HONEST_TRUTH
We opened the door in order to enter.,IN_ORDER_TO
We were introduced for the first time a week ago.,INTRODUCE_FOR_THE_FIRST_TIME
Redundancies are the main focus of my essay.,MAIN_FOCUS
It was a major breakthrough in genetic research.,MAJOR_BREAKTHROUGH
That may possibly be the greatest blunder of all.,MAY_COULD_POSSIBLY
Do cats really use mental telepathy?,MENTAL_TELEPATHY
Well they're mutually dependent on each other.,MUTUALLY_DEPENDENT_ON_EACH_OTHER
I was never at any time with that woman.,NEVER_AT_ANY_TIME
He didn't like the protesters around him.,NOUN_AROUND_IT
She is now currently the ambassador.,NOW_CURRENTLY
Santa Claus and Saint Nick are one and the same person.,ONE_AND_THE_SAME
We can either do this now or alternatively leave it for tomorrow.,OR_ALTERNATIVELY
Computers are just a passing fad.,PASSING_FAD
We know from past experience that weakness breeds contempt.,PAST_EXPERIENCE_MEMORY
Horses were absent throughout that period of time.,PERIOD_OF_TIME
In my personal opinion canaries are quite tasty.,PERSONAL_OPINION_FRIENDSHIP
The point being is that Russia and Japan weren't even at war.,POINT_BEING_IS_THAT
The reason why I did that is simple.,REASON_WHY
I am me the only me so therefore I am unique which in turn makes me special :),SO_THEREFORE
My swelled knee required special therapeutic treatment.,THERAPEUTIC_TREATMENT
She loved her rustic country kitchen.,RUSTIC_COUNTRY
They ran for the forest searching for a safe haven.,SAFE_HAVEN
Eggnog on Christmas is our usual custom.,USUAL_CUSTOM
Walk until you see the very unique building on your right.,VERY_UNIQUE
She was the first female actor.,FEMALE_ACTOR
She was the first female waiter.,FEMALE_WAITER
She was the first woman president.,FIRST_WOMAN_NOUN
He was the first man employee of the company.,FIRST_MAN_NOUN
The #3 is three.,HASH_SYMBOL
At 12 pm which is also noon.,WIKIPEDIA_12_PM
At 12 am it's midnight,WIKIPEDIA_12_AM
I am currently writing some software,WIKIPEDIA_CURRENTLY
I wasn't there at all.,WIKIPEDIA_CONTRACTIONS
The new product is Executive Choice(TM) Plus.,TRADEMARK
Microsoft Windows (R) is what I don't use.,R_SYMBOL
Copyright (C) 2010 The Estate of Ezra Pound,COPYRIGHT
You owe me 100$.,CURRENCY
You owe me $ 100.,CURRENCY_SPACE
This is another &quot;test&quot;.,EN_QUOTES
This is important . . . as far as I know.,ELLIPSIS
You shouldn´t do it!,WRONG_APOSTROPHE
Hillary Clinton asked where Bernie Sanders was in the 1990's.,APOSTROPHE_IN_DATES
Hillary Clinton asked where Bernie Sanders was in the 90's.,APOSTROPHE_IN_DATES
Where were you in the 1990’s?,APOSTROPHE_IN_DATES